1000 400 100
188 51 402 0
789 77 1553 1
344 48 422 1
164 14 1342 0
601 29 407 0
613 24 1345 1
580 92 1146 1
328 98 1920 1
625 84 1268 1
134 97 1458 1
295 8 1139 1
130 26 513 0
329 32 1018 1
997 95 901 1
651 8 690 0
760 62 451 0
780 93 1238 0
233 98 1403 1
689 9 1483 0
868 80 1250 0
929 64 651 0
525 97 717 0
517 41 724 0
462 99 1855 1
488 97 561 0
863 80 463 0
143 95 1224 0
337 68 1978 1
964 54 1317 0
4 32 562 0
870 70 619 0
687 99 868 0
284 23 772 0
857 59 1675 1
494 22 1909 0
419 92 860 0
637 93 1328 0
533 82 900 1
195 94 1261 0
831 77 696 0
751 100 1791 1
221 50 935 0
122 6 1391 1
8 11 1219 1
938 27 1762 1
19 10 1400 1
547 24 1529 0
930 71 817 0
802 94 794 0
846 89 833 0
995 61 1897 0
537 2 791 0
629 94 1844 1
623 11 710 0
829 96 1668 0
255 48 1993 1
324 100 904 0
681 8 1783 1
170 9 1050 0
446 28 1448 0
864 54 790 0
749 13 1720 0
485 63 412 0
954 60 682 0
893 49 1525 1
685 23 1021 1
997 92 1983 1
317 26 1587 1
115 70 1778 1
926 54 1333 0
191 49 593 0
603 88 1820 0
237 28 485 1
940 77 577 0
349 23 1889 1
47 44 509 0
113 73 715 0
157 84 1940 0
274 3 1592 0
990 16 965 0
791 81 1039 0
643 86 1611 1
827 63 1833 1
435 33 1274 1
418 33 1921 0
304 87 1853 0
183 84 617 1
407 96 693 0
429 62 1999 1
256 100 1922 0
759 28 1505 0
561 73 1137 0
973 72 1638 0
375 12 992 0
470 24 1615 0
129 5 505 0
474 82 968 0
297 37 1393 0
635 60 1499 1
205 70 452 0
475 49 1544 0
290 96 880 0
476 36 1880 1
354 10 1992 1
523 7 1349 1
978 67 1861 0
683 100 1883 0
209 3 1624 0
616 57 1469 0
582 68 1183 0
955 14 1463 1
507 3 602 0
171 84 818 0
569 41 722 0
560 63 1227 1
952 44 575 0
575 51 1116 0
80 44 624 1
351 79 1067 0
439 8 680 0
692 54 1962 1
269 60 979 0
618 97 1933 0
211 84 869 0
971 35 687 0
873 1 1977 1
52 23 1764 1
168 70 704 0
884 31 666 0
727 60 946 0
655 8 1335 1
109 43 1724 0
645 31 1755 0
673 13 1639 0
617 81 1822 1
722 33 1886 0
12 96 1370 1
950 93 442 0
242 88 1410 0
120 42 1905 0
257 96 1487 1
43 95 424 0
875 30 1477 0
706 49 842 0
544 32 1034 1
811 27 1681 0
810 36 1350 0
491 86 1752 1
408 22 572 0
962 81 1967 1
187 26 821 0
885 36 1206 0
373 1 1154 0
133 16 1803 0
281 35 1810 0
459 82 1514 0
862 31 537 0
853 54 1854 0
945 80 1660 1
694 76 1184 1
614 27 1367 0
916 95 465 0
176 81 1426 1
289 92 1875 0
447 3 1133 1
214 37 1375 1
843 73 908 0
696 20 548 0
203 42 573 0
17 79 1825 1
222 27 1439 0
76 71 785 0
414 79 944 0
245 41 1321 0
193 73 553 0
638 10 1296 0
803 65 456 1
2 30 1542 0
524 63 473 0
86 89 1619 1
114 9 813 0
604 88 437 0
84 36 1209 1
872 98 552 0
568 35 1129 1
307 60 582 0
124 36 1291 0
756 79 1647 0
423 92 448 0
68 51 1168 1
989 40 1947 1
455 52 820 0
261 43 1893 0
483 54 1187 0
894 73 997 0
220 97 1094 1
430 82 1835 1
355 88 692 0
847 88 1990 1
417 54 1198 0
334 97 1199 1
428 16 940 0
972 7 1356 1
899 31 1409 0
684 70 917 0
900 82 942 0
521 9 1648 1
105 39 828 0
965 51 1928 0
887 33 1112 1
395 32 1746 1
704 93 1253 1
747 6 1027 0
410 97 649 0
427 36 1898 0
806 57 1815 0
854 28 926 0
923 98 694 0
757 10 1373 1
456 42 939 0
286 80 697 0
469 60 1438 1
630 53 776 0
668 93 1136 1
813 24 1138 1
770 27 455 0
688 5 1443 0
421 84 1031 0
555 41 1165 0
100 73 517 0
837 18 744 0
394 7 1766 0
252 88 1629 0
641 28 739 0
273 71 1298 1
642 37 1987 1
379 51 795 0
596 70 750 0
234 27 1572 1
489 94 773 0
736 80 993 0
30 96 1468 0
162 100 1344 1
385 19 1241 0
140 10 1634 0
487 42 1834 0
431 84 1645 1
326 2 1927 1
173 48 1625 1
732 59 1077 1
911 51 1045 1
198 60 1358 1
452 81 1867 0
321 28 655 0
605 50 479 0
790 96 470 0
636 73 870 0
26 68 922 0
895 87 1440 1
262 52 1637 1
818 43 1621 1
253 79 1083 1
11 31 1748 1
917 49 1988 1
271 29 876 0
576 8 756 0
634 73 1011 0
495 68 495 1
570 23 691 0
254 82 1355 0
665 68 1366 1
277 65 762 0
698 84 1056 1
935 77 1211 1
332 76 1308 1
104 9 865 0
773 8 1394 0
147 76 1797 1
830 30 1033 1
155 6 1749 1
958 97 874 0
400 52 871 0
55 73 605 0
148 87 713 0
531 80 1117 0
998 88 953 1
543 27 1604 0
653 82 1091 1
783 73 609 0
814 44 838 0
174 71 1929 1
197 14 1610 1
512 36 1558 0
391 37 1580 0
247 36 1884 1
69 92 1488 0
578 62 857 0
32 24 1318 1
801 81 594 0
763 28 1895 0
931 49 1341 1
539 1 1784 0
338 39 1692 1
640 31 1226 1
208 37 1496 0
566 36 1683 0
518 50 1392 1
966 55 1267 0
127 71 1457 1
457 31 1556 0
540 92 1070 1
922 97 458 0
85 18 441 0
866 92 1655 1
300 77 1994 1
453 71 1642 0
699 16 474 1
721 59 1788 1
27 6 1244 1
905 71 1654 1
573 97 759 0
412 57 1600 0
784 100 1171 1
835 44 797 0
406 33 1996 1
724 47 899 0
877 53 440 0
397 33 1423 1
944 43 1743 0
199 79 565 0
345 100 1836 0
624 37 1013 0
347 29 1444 1
742 44 1995 0
219 12 1616 0
714 43 1401 1
949 50 807 0
541 33 1047 0
38 68 1750 0
591 61 1593 1
656 22 499 0
627 5 1733 1
927 55 1628 1
42 98 1368 1
331 6 706 0
891 29 1719 1
850 77 447 0
664 22 1089 0
339 79 1078 0
579 88 1753 1
925 27 1787 1
622 48 1096 0
986 86 1301 0
739 33 526 0
733 80 890 0
826 28 1859 1
159 94 1162 1
510 98 1119 1
196 73 976 0
87 11 748 0
263 11 930 0
723 2 1125 0
711 94 1452 1
607 73 591 0
841 84 789 0
361 18 1531 0
484 77 1359 1
869 86 564 0
504 35 532 0
315 79 1900 1
967 77 1431 1
126 62 1866 0
619 79 1420 1
856 71 832 0
766 37 1852 1
567 42 584 0
232 43 1606 0
279 26 1879 0
798 30 1134 0
910 65 1055 1
405 47 1715 1
342 8 1113 1
661 8 1038 0
426 32 642 0
840 18 1508 0
599 76 1997 1
718 37 1862 1
194 26 1104 0
725 11 1378 1
259 44 689 0
111 29 1042 1
819 94 918 0
348 63 1795 0
142 23 616 0
939 20 1650 0
54 69 1118 1
589 54 783 0
282 50 1965 1
918 29 445 0
29 69 802 0
293 73 1185 0
438 95 1608 1
94 48 1493 0
765 50 716 1
652 94 1722 0
769 57 951 0
861 36 525 0
498 54 1530 0
153 39 1016 0
31 89 1635 0
89 35 1352 1
838 88 1428 0
291 24 1081 0
288 79 887 0
648 3 1277 0
778 3 1128 0
482 3 972 0
574 98 604 0
404 88 1178 0
631 55 764 1
468 62 1709 0
558 14 1299 0
77 50 1255 1
737 76 1630 1
844 87 1390 0
59 69 1680 0
472 37 1106 0
712 61 1399 0
158 29 566 0
436 16 954 0
37 96 1007 1
519 71 521 0
370 28 1075 0
246 54 1658 1
548 32 1754 0
686 96 547 0
506 14 1445 1
356 96 1163 0
753 14 1322 1
308 73 574 0
994 100 1894 1
319 32 416 0
3 10 1334 0
352 5 1141 0
667 55 1037 1
881 80 1950 0
88 13 507 0
697 9 1535 1
878 8 1060 0
63 49 1666 1
999 63 632 0
513 86 1644 1
240 52 754 0
243 40 1603 1
976 43 1679 1
107 16 895 0
223 73 570 0
557 52 1272 0
101 10 698 1
914 94 1072 0
206 3 768 0
390 28 1506 1
585 16 1948 0
679 69 1325 1
590 99 657 0
132 2 659 0
942 67 1710 1
473 7 1380 1
330 47 1242 0
836 39 662 1
892 42 438 0
511 5 414 0
10 31 1210 0
693 100 1217 1
845 88 1421 1
64 48 1127 1
767 61 1686 1
236 87 847 0
200 50 411 0
449 50 1181 1
609 22 569 0
496 87 1850 0
467 47 1842 1
497 89 889 0
644 14 875 0
700 44 1537 1
690 19 1041 0
36 72 735 0
320 1 1233 1
559 52 1567 1
172 11 653 0
502 54 1565 0
388 3 1568 0
466 68 742 1
144 65 840 0
522 11 1271 0
125 37 1771 0
95 81 1546 0
106 62 806 1
600 98 1571 1
817 87 841 0
542 31 1702 0
716 9 637 0
633 55 1216 1
292 5 1953 1
16 42 1751 1
226 36 1966 1
377 73 1044 0
708 14 1273 0
313 70 641 0
402 73 911 0
731 99 1561 1
713 30 1982 1
529 18 1734 0
552 82 1135 0
921 76 1937 0
305 80 971 0
301 97 415 1
493 7 638 1
593 54 1513 0
595 71 1740 1
123 57 1819 0
179 50 933 0
486 40 1520 1
503 40 770 0
871 76 986 0
703 94 839 0
310 50 1437 1
993 62 1534 0
951 62 862 0
663 1 958 0
758 52 1632 1
434 60 421 0
250 19 1792 1
626 40 1316 0
264 63 1824 0
62 72 1698 0
463 30 1773 0
730 55 1502 1
92 39 1269 0
828 100 1669 1
886 10 1786 0
957 99 1407 0
632 67 1222 0
207 100 1357 1
897 80 1100 1
678 73 610 0
471 27 978 0
325 97 508 0
480 94 1706 1
937 51 732 1
883 71 727 0
401 39 1107 1
809 36 568 0
228 23 1376 0
409 14 515 0
709 20 980 1
825 65 520 0
160 1 959 0
752 52 1191 1
968 80 425 0
890 68 1092 0
879 10 488 0
260 73 607 0
772 23 1043 0
57 13 1188 0
33 55 923 0
956 60 996 0
117 82 658 0
946 23 1079 0
119 94 1169 0
707 33 752 1
904 39 1737 0
851 96 962 0
478 57 1408 0
658 26 1515 0
79 71 1957 0
9 48 1251 0
61 73 799 0
611 9 1690 0
368 67 1890 0
777 51 1906 0
740 59 879 0
103 39 1008 0
239 14 587 0
24 35 1516 0
981 20 1873 0
775 36 884 0
372 13 1828 1
554 62 1949 0
660 20 741 0
719 37 1620 0
45 51 928 0
666 3 1464 1
479 69 559 0
131 10 608 1
118 31 1789 1
943 50 417 0
51 87 1699 1
149 7 1594 0
808 81 781 0
185 87 1827 0
674 33 1363 0
528 65 950 0
181 2 1115 0
146 32 1412 0
230 95 1617 1
166 24 492 0
882 44 1353 1
178 79 614 1
461 49 1951 1
201 5 1017 0
960 39 766 0
906 95 1102 0
796 59 1196 0
251 93 1689 1
420 2 516 0
298 23 1177 0
217 1 643 1
586 10 1806 1
102 24 454 0
386 41 433 0
7 43 1389 0
98 24 1340 1
268 92 1918 0
928 49 527 0
151 88 1124 1
424 70 1547 1
53 64 1237 1
792 43 707 0
620 81 1339 1
323 62 1838 1
22 98 1314 1
458 96 1804 1
516 31 1097 0
761 42 478 0
336 86 597 0
450 9 413 0
71 69 1726 1
96 39 1490 0
867 14 1365 1
327 13 952 0
1000 31 1101 0
229 95 1758 1
294 44 907 0
161 53 966 0
285 44 606 0
18 24 1839 1
210 13 1282 0
776 50 1354 1
441 18 544 0
335 80 720 0
238 79 1691 1
67 35 800 1
852 1 538 0
267 39 1712 1
919 73 924 0
362 62 1569 1
782 12 1480 0
381 40 1377 0
556 47 1877 0
786 42 1026 1
974 53 1731 0
231 13 1958 0
912 93 1809 1
961 89 780 0
82 87 1167 0
389 57 948 0
357 44 882 0
136 23 987 0
224 76 1084 1
985 12 888 0
859 96 1336 1
984 81 747 0
876 96 1491 1
97 24 1543 0
936 48 1265 1
788 54 501 0
564 49 1776 0
583 18 929 0
20 63 1289 1
437 26 1151 0
799 73 1046 0
152 39 1266 1
726 55 1871 1
920 76 1956 1
588 26 1779 0
774 9 1767 0
108 53 1329 1
81 20 1845 1
672 87 1674 0
728 64 825 0
116 89 652 0
433 92 1411 1
816 73 1143 0
1 62 1474 0
50 27 1258 1
959 96 1323 1
534 5 1311 0
212 87 1687 1
549 16 672 0
150 51 423 0
451 50 823 0
982 22 628 0
266 14 1550 0
110 61 1555 0
481 62 1910 0
562 6 760 1
563 64 796 0
244 100 1066 0
888 67 910 0
820 28 404 0
913 99 1533 0
797 44 1197 1
34 23 1646 0
833 27 1025 1
715 12 1453 0
145 77 1447 0
948 79 761 0
839 96 1830 1
934 35 1597 0
138 28 1881 0
508 2 512 0
941 10 1725 0
646 19 1979 1
849 79 804 1
312 7 1313 0
202 92 1526 1
403 2 1331 1
448 8 1799 1
701 47 600 0
275 40 1564 0
346 71 1670 0
56 10 472 0
83 94 1221 0
154 63 1131 1
248 73 1035 0
805 70 1914 1
341 60 1631 1
729 31 1286 0
121 40 955 0
425 32 1913 1
384 53 676 0
771 26 1192 0
527 97 1388 0
41 77 1223 0
66 22 726 1
745 73 909 0
314 7 1696 0
180 18 757 0
46 16 1142 1
283 76 846 0
858 39 1704 1
741 86 915 0
65 73 510 0
680 5 1406 0
915 36 810 0
139 65 1605 0
6 30 1732 1
376 98 927 1
924 37 1284 1
60 37 798 0
807 23 1716 1
276 48 1009 1
735 6 1863 1
443 67 1676 0
460 7 620 1
44 69 1673 1
550 86 1398 1
677 59 786 0
823 3 681 1
787 92 1472 0
903 65 1777 1
597 11 436 0
659 10 1343 0
571 94 1288 1
671 10 718 0
78 16 1280 0
953 7 1022 0
