8765
40 40 39 44
1336 91 69 89 31
1338 44 21 26 27
99642 95 5 73 34
99644 43 74 99 22
1342 92 30 53 10
66878 47 59 0 55
99646 70 58 80 77
34114 43 65 15 15
1347 60 66 94 50
66884 40 90 24 10
66885 93 36 73 41
1356 36 38 40 17
99663 33 67 39 18
66911 35 97 80 19
66912 27 75 10 41
66916 42 81 78 34
99685 84 24 24 45
66921 13 25 93 40
34153 75 72 46 70
1401 23 63 70 35
1402 40 42 21 80
34171 92 41 82 82
99711 89 95 79 91
66954 69 29 23 3
34191 45 89 43 13
34197 23 63 24 51
66966 0 79 39 55
34198 99 75 9 45
34203 100 77 34 9
34205 26 57 10 8
1440 2 81 56 62
34209 31 67 63 2
66979 96 71 46 56
1447 3 52 66 83
34217 69 47 20 49
99754 71 30 90 67
34221 0 16 4 29
34222 66 15 26 9
66989 94 11 85 85
66994 8 36 87 63
1461 22 49 41 63
34230 30 93 30 57
34231 95 3 30 38
66999 9 83 39 100
1474 99 40 62 33
99779 69 26 88 76
99778 49 18 50 89
34246 36 61 47 29
1480 28 34 11 63
99785 19 72 22 28
34257 20 77 15 64
99793 85 28 18 55
1492 30 66 63 46
34260 66 44 84 88
1499 34 88 3 74
34271 33 55 78 97
1503 70 39 82 61
1511 4 13 6 14
34282 70 47 14 56
1518 68 54 91 69
99830 73 57 100 69
67063 99 20 0 9
1528 57 33 36 19
99833 29 51 17 21
1531 70 27 12 75
67073 83 78 7 93
34310 76 69 89 34
34314 4 5 15 42
67083 72 56 41 65
1549 25 66 19 18
1551 68 3 25 43
99858 8 27 40 27
67091 23 4 65 53
1559 59 8 86 41
99867 28 95 26 3
1568 86 1 24 78
67106 86 1 7 43
67108 14 57 26 45
34342 74 96 14 65
99888 28 20 47 87
1587 35 65 33 27
34360 13 86 27 83
99897 43 8 16 93
34364 30 48 97 12
34365 26 94 22 34
34366 85 87 9 56
99904 60 35 27 88
67139 72 65 64 36
1604 55 41 53 44
99908 31 32 45 41
1607 19 72 93 75
1608 13 46 74 35
99915 39 92 17 5
34379 11 72 75 65
99917 58 68 69 71
99919 93 0 19 46
67154 17 20 92 84
99924 52 21 82 70
34388 3 67 10 21
34397 20 60 79 62
99933 55 93 57 84
34400 100 51 59 26
34404 60 1 72 18
1640 99 64 73 29
67177 67 77 17 62
99946 11 44 31 10
67180 58 47 33 32
67181 43 99 82 26
34415 61 44 69 54
99954 56 84 89 97
99963 49 44 4 72
67196 96 34 10 12
67198 15 27 53 31
1664 50 64 63 39
34433 53 33 45 6
67205 19 65 41 85
34443 41 24 52 87
34449 75 64 86 17
99988 82 63 9 52
34452 46 96 93 33
99990 44 87 72 60
34458 4 59 66 12
1691 55 38 12 93
1695 63 68 6 28
1696 46 77 12 99
1698 27 98 98 80
1700 14 17 2 95
34472 0 52 6 41
1705 13 29 92 26
1707 24 36 0 33
34478 79 76 64 93
34481 11 5 8 99
34482 32 72 74 40
67250 69 20 50 32
67258 95 5 67 35
34491 89 42 17 44
67268 3 6 99 85
34503 99 75 20 71
34504 95 14 64 16
34505 67 90 3 89
34514 72 35 48 53
67284 35 65 2 9
67289 8 75 80 36
34523 26 28 66 12
1756 18 51 43 3
34525 88 56 49 12
34526 47 0 80 85
1757 21 18 21 56
34535 27 52 43 83
34538 92 64 47 75
1771 4 42 32 67
1776 97 16 65 9
34548 59 24 91 11
34550 58 22 60 9
1788 88 36 28 6
67329 9 45 33 31
67332 72 86 94 80
1798 44 9 10 26
34566 84 64 20 28
1803 48 86 5 89
1812 18 69 93 60
34586 83 69 2 12
34591 85 8 68 3
67365 99 26 40 69
67373 67 2 36 79
34605 81 70 7 70
34630 41 69 57 12
1865 35 6 5 98
1868 36 42 88 27
67405 6 93 9 95
1870 52 100 67 17
1872 12 21 20 85
34642 98 87 99 27
34646 43 97 88 6
34648 61 63 81 0
67419 29 58 85 57
34655 39 16 61 37
34658 10 36 9 72
34662 73 31 64 35
67431 12 81 80 86
67433 22 52 69 15
34665 97 75 81 72
1908 71 36 42 86
1910 25 86 8 67
1912 80 21 6 28
67449 53 14 63 64
1913 4 78 55 98
1921 11 35 53 12
34694 99 31 87 42
67463 78 13 78 31
67465 29 80 91 82
1930 8 97 94 0
34707 3 3 74 42
1949 78 98 52 19
67488 17 68 71 73
67490 91 24 65 92
34724 40 40 27 100
67492 55 45 95 10
67493 62 34 43 92
34730 81 32 71 35
1962 19 87 71 88
1964 43 61 50 67
67502 58 49 90 51
34738 3 5 28 58
67507 41 4 68 16
67509 5 19 34 26
34742 22 27 10 14
1975 68 1 83 69
67520 74 96 15 59
67521 3 59 96 38
67523 14 81 68 82
67529 91 49 47 5
34762 17 9 22 71
1995 29 61 79 50
2000 67 54 45 36
34769 17 81 37 61
34771 86 97 22 81
67547 17 66 70 42
2019 63 33 12 79
67556 95 8 54 61
34789 16 96 70 7
2022 98 96 43 84
34791 36 44 38 12
67559 20 87 10 26
67573 72 26 4 3
34808 98 16 62 64
2045 99 38 34 22
34821 21 12 90 34
2054 85 90 82 22
2058 40 33 67 55
2060 52 93 34 0
34828 41 87 76 26
2064 55 2 94 64
67604 72 47 42 10
2070 95 67 46 94
2073 93 59 28 46
2082 68 73 8 5
67625 9 20 65 19
2096 30 26 9 10
2103 36 97 37 28
67641 100 21 52 41
34876 85 48 84 8
67647 65 6 99 43
2122 74 20 40 58
34891 72 46 40 52
34890 69 51 91 45
34893 32 95 40 58
67665 2 93 88 96
2130 21 3 18 72
67668 5 8 40 17
67669 91 52 75 60
67676 5 51 95 96
2143 77 40 41 27
67680 86 37 52 58
34915 33 19 21 49
2149 93 84 49 18
34920 42 35 90 34
2158 18 78 55 10
34928 86 1 14 60
67696 18 8 94 27
34936 36 77 30 68
2174 18 25 100 46
34942 70 5 65 71
2176 68 99 65 28
67713 65 33 91 17
34946 92 31 94 80
34943 5 77 33 44
34949 17 53 44 87
2182 48 80 52 42
34956 53 24 72 24
34962 51 5 34 8
2197 72 96 98 1
2203 36 53 9 53
2216 12 79 46 67
2226 15 99 13 50
67763 16 6 50 88
67768 56 82 29 20
2238 8 55 84 15
67774 57 60 39 7
35010 25 70 11 1
35014 14 71 95 21
35015 72 50 79 42
2248 4 72 80 48
2255 44 93 25 66
2258 3 57 100 10
35026 83 22 14 98
2262 90 95 61 95
67803 43 32 55 17
35035 13 43 2 59
67806 9 21 47 50
2274 73 28 26 6
67818 61 38 76 12
2282 58 0 51 42
67820 46 28 73 74
67825 75 60 27 83
35067 54 98 69 55
35072 89 89 17 37
67841 70 57 84 35
35074 60 68 64 33
35078 84 3 56 13
35080 30 64 38 97
67876 75 92 93 35
67879 28 32 35 78
35112 65 48 70 17
2349 52 52 34 97
2351 11 56 41 40
67888 72 29 67 51
2352 5 63 66 60
67890 37 77 65 100
2372 10 74 75 92
2374 89 50 99 38
67913 47 89 79 79
2381 93 31 31 99
2383 48 17 54 44
35156 27 8 63 2
2390 81 36 19 67
2397 89 33 62 9
67936 12 21 58 53
67939 5 49 61 33
35174 29 40 93 57
2408 6 71 40 16
67945 73 96 63 51
2413 34 40 26 43
67951 99 96 56 96
2417 75 84 29 8
35188 93 12 86 6
35190 24 46 28 24
35201 88 82 22 98
35202 73 41 12 36
2434 40 61 19 97
67971 31 71 77 78
2441 39 89 97 78
35213 30 12 39 70
67982 58 21 25 73
35215 94 53 52 42
2456 45 32 65 65
35234 39 100 30 63
68004 55 0 29 73
2471 22 14 71 43
68008 53 100 10 6
2473 100 9 47 60
35250 83 5 63 13
2484 28 26 55 33
2486 63 23 23 60
68024 53 17 16 58
35258 5 67 7 27
68026 1 53 91 99
68032 100 24 64 73
2498 38 76 60 56
35274 39 69 94 70
68051 7 17 23 76
35287 52 26 65 18
2522 10 7 89 59
68059 3 39 58 10
35293 46 68 49 73
68064 11 46 37 1
2532 97 2 100 88
68075 45 44 67 36
2541 4 9 79 23
2553 34 81 29 56
68089 70 56 60 25
35329 99 65 11 40
68099 83 9 54 29
2564 50 10 27 8
2569 99 26 49 5
68105 95 83 63 78
2572 46 42 74 19
68109 94 74 85 43
2576 38 47 69 97
35351 40 28 9 39
35352 65 99 18 89
68126 3 39 53 75
2590 65 11 31 57
68129 19 9 16 4
2595 44 0 51 48
68135 99 96 44 61
35370 88 94 45 34
2605 84 79 56 40
68141 43 53 6 52
35373 82 91 41 45
68148 36 94 3 12
2622 75 9 9 16
35390 88 33 4 78
68163 86 57 20 6
2630 33 41 21 28
35406 61 41 4 39
2648 56 78 63 16
68192 59 38 73 48
35425 31 100 18 22
2658 94 80 79 99
2660 46 73 33 88
2662 27 61 52 6
35433 83 61 72 63
35447 33 62 43 25
2685 46 77 69 91
35456 7 56 24 95
35464 67 99 94 43
35473 63 29 64 29
35476 91 82 99 26
35479 33 74 31 48
68251 100 71 68 83
35486 6 67 95 71
2719 46 61 38 99
68255 55 60 53 42
35490 29 75 88 37
35493 4 22 12 84
68262 41 13 41 5
2729 23 3 98 12
2730 100 66 14 32
35503 69 12 54 51
68276 0 95 79 85
68277 17 36 65 77
2742 74 63 44 77
68280 61 98 9 63
35519 52 52 3 41
68289 55 17 61 95
2758 27 34 93 41
35527 66 84 74 24
2762 41 15 62 23
68309 13 54 40 63
68319 15 81 39 86
68324 96 31 68 91
35558 32 56 70 34
35559 59 80 68 54
68328 51 1 67 15
68334 22 63 60 28
68335 83 52 77 62
2802 81 52 13 6
2807 82 72 11 11
68349 90 82 17 60
68352 30 66 75 78
68359 61 18 36 37
2826 33 85 94 91
68374 34 51 26 2
35608 99 26 94 88
35609 15 1 16 54
2844 53 79 92 88
2846 9 16 23 68
35616 70 13 73 19
2849 99 2 45 43
68390 6 32 5 74
35628 9 98 60 17
68399 42 70 90 27
2864 68 63 68 38
2870 79 95 65 31
2876 83 90 66 60
2877 7 28 28 74
35646 8 1 52 28
68415 41 86 73 93
2881 11 15 81 66
35652 28 30 85 86
2887 91 68 1 98
68423 21 55 3 96
35655 30 64 61 25
68429 25 89 85 70
35664 54 44 30 50
68439 20 4 80 69
2909 31 30 26 5
68447 99 52 54 30
68452 63 76 93 85
2918 76 55 29 39
68462 95 93 77 91
35696 7 46 64 20
35697 37 70 67 39
68467 94 44 71 7
68469 3 45 41 81
35703 91 83 79 92
2941 92 35 9 74
2953 45 25 47 8
35726 64 11 30 53
35732 56 17 2 71
2966 47 75 17 62
68503 41 84 99 77
35736 9 96 0 64
2970 14 8 3 72
35744 76 42 91 9
2981 85 92 40 94
2984 6 43 69 92
68524 0 68 65 22
68530 31 35 63 98
2996 52 73 51 96
68538 85 55 72 26
35771 60 26 68 0
68539 96 4 90 8
68542 95 42 98 70
68549 38 21 72 79
35785 16 95 12 95
3019 45 27 31 84
68556 46 47 10 46
3022 14 50 6 19
3032 50 36 85 53
68570 59 13 26 40
35807 86 16 46 50
68577 66 54 3 70
35810 38 8 28 77
3045 37 4 72 68
3048 98 57 61 8
35817 7 96 12 68
35822 48 18 32 8
35823 17 8 23 25
3056 7 13 79 35
35832 98 79 6 83
68600 28 95 48 14
68602 30 86 87 8
35836 80 7 56 96
3068 42 96 59 7
68607 64 82 41 38
3079 96 99 63 47
68616 54 100 1 21
68617 42 27 4 43
35850 84 49 13 57
68621 100 73 62 73
68625 69 76 92 66
3092 77 47 76 6
68631 30 45 30 34
35864 78 67 93 7
35865 88 22 47 83
3099 79 25 65 35
35868 75 43 41 98
3103 12 33 91 43
68641 53 71 82 7
3108 50 43 54 4
35878 60 80 63 29
3112 35 88 75 55
35880 96 30 6 61
3119 56 65 77 87
68657 23 46 43 45
35895 4 71 65 70
35896 98 53 100 80
3131 26 21 66 98
68668 49 39 21 60
35899 63 64 19 16
68670 87 32 61 16
35905 17 70 25 99
68673 28 74 57 15
3137 50 49 59 39
35911 2 10 24 87
35918 50 37 88 31
35925 8 64 5 85
35927 34 39 35 10
68701 44 96 42 59
68702 63 74 81 28
3169 42 63 35 16
3170 2 46 98 27
68708 19 100 20 11
35941 40 27 10 12
3173 80 4 39 26
3175 0 62 95 52
3174 62 24 69 37
3177 100 65 54 76
35947 0 87 13 82
35949 20 87 26 34
3186 17 37 66 57
68723 30 9 83 27
3192 59 72 39 25
35963 85 62 99 45
68733 83 20 4 92
68736 13 13 43 100
3201 75 70 72 11
68741 12 66 26 34
3216 79 5 81 9
35987 65 91 47 30
68758 86 49 30 6
35994 83 73 99 24
68767 28 9 13 70
36010 41 100 23 60
3243 1 32 95 52
68783 5 93 29 60
68784 43 26 3 41
3256 12 54 53 69
68793 3 51 50 0
3263 52 4 48 98
36031 39 22 75 90
68801 91 9 60 54
68808 36 38 48 42
3273 41 51 48 10
68810 63 46 36 47
68817 8 47 94 97
3281 26 52 48 95
68818 50 44 98 62
68820 5 22 74 9
3284 64 61 21 75
68821 63 31 100 31
68819 95 61 35 24
3291 82 32 27 45
3292 88 93 5 57
3294 47 85 15 27
3298 78 77 6 42
3304 75 12 16 30
3312 50 63 57 56
3313 27 93 96 57
36086 63 65 18 14
36089 48 1 64 2
36095 37 40 94 87
36099 8 24 20 98
68868 26 59 79 37
3331 50 6 37 21
3334 12 7 9 58
36108 64 60 32 45
68888 81 86 42 72
3373 53 4 62 45
3380 4 3 26 94
36149 58 83 60 81
3382 91 51 91 75
68925 53 21 62 81
68929 56 89 64 41
68930 35 79 75 16
68936 61 61 12 90
68937 82 64 13 17
68942 17 29 78 75
3418 35 26 92 24
3419 16 81 48 3
3424 26 53 22 93
36193 100 8 56 94
36195 28 56 42 51
36198 84 1 41 88
68972 51 17 80 20
68977 76 9 89 38
3443 17 84 34 41
68983 47 20 67 57
36221 81 22 60 45
36227 51 50 0 4
36230 73 40 58 26
3464 47 79 92 0
36237 81 66 28 32
3470 87 88 17 5
69015 60 70 28 4
36248 41 49 2 67
69018 27 85 72 0
36268 26 23 67 28
3509 31 63 26 52
36279 37 88 28 98
3513 17 42 63 56
36283 61 35 94 44
36284 52 55 97 82
69059 84 66 71 98
69064 34 56 32 73
69065 87 3 9 8
36297 99 66 70 54
69069 80 26 73 69
69082 73 36 17 48
3549 87 86 13 22
69088 35 26 24 59
36324 10 52 11 53
3558 1 11 39 82
36326 29 87 32 49
3561 79 8 77 43
36329 87 19 8 53
36333 12 94 77 67
36339 37 55 42 89
69110 30 90 31 0
36350 0 92 43 8
36355 45 8 20 31
3603 94 49 38 59
69139 4 22 100 93
69145 27 44 49 80
3610 89 62 99 16
36384 48 52 73 54
69153 90 88 83 20
36387 34 21 41 96
36390 13 85 26 47
3623 96 4 42 60
3627 15 66 62 100
36397 19 43 17 78
36399 51 78 20 37
3631 25 44 97 27
3639 99 65 72 81
36408 39 5 63 1
3641 43 56 25 50
3649 19 77 15 81
3669 9 76 52 34
36444 80 96 60 13
69213 84 59 9 40
69215 59 55 100 89
36449 38 80 100 25
69220 95 8 76 63
69223 71 27 23 17
36457 57 44 77 4
3692 26 15 78 37
69232 54 74 81 40
3697 87 26 41 53
69237 16 10 65 19
3703 24 58 29 99
3706 40 71 17 82
36476 78 67 66 68
69260 64 88 4 16
36499 60 70 84 38
69270 55 54 63 71
69273 52 42 33 36
3739 79 81 10 96
69277 47 81 57 94
36510 49 73 9 64
69279 6 65 7 4
69280 57 60 100 37
3745 5 28 61 86
69283 53 75 33 34
69285 23 96 28 58
36524 49 6 21 82
36527 47 72 83 73
36528 7 19 78 86
3762 57 74 59 1
36533 37 38 89 97
36534 85 12 74 13
36535 19 51 79 52
3767 20 3 58 4
3769 53 29 43 21
36540 43 79 27 82
36542 65 12 99 18
3782 17 0 39 45
69324 83 14 23 53
69326 11 9 87 78
69335 59 28 10 14
69338 63 61 42 29
69340 19 66 97 71
3808 40 62 94 16
36581 58 100 74 74
69351 79 64 11 58
36586 27 42 44 34
3822 72 58 27 81
3827 7 77 67 83
36598 61 79 98 2
69368 27 16 18 31
69369 65 81 1 14
36621 32 6 58 76
36627 32 80 17 25
69399 22 22 57 15
69404 99 73 41 35
36644 86 55 69 15
3877 62 26 57 24
3888 10 26 70 71
69426 76 9 32 23
3891 12 50 35 25
3930 89 28 98 61
69476 24 22 77 42
3940 24 97 26 76
3942 57 86 25 13
69480 39 89 97 72
3953 12 46 91 72
3956 18 9 85 14
36725 35 3 38 0
69497 48 24 99 56
3969 89 26 15 86
36741 89 63 56 87
3979 48 38 45 26
69516 61 84 11 51
3981 8 94 3 94
3982 27 18 86 36
69520 49 93 52 18
36756 12 8 58 96
3990 4 62 45 15
69531 34 13 95 78
3995 97 99 47 54
36765 38 1 84 92
69536 60 15 35 74
4002 63 36 86 83
69539 85 58 91 39
4004 72 18 22 67
69545 99 56 61 12
4036 33 73 85 13
36805 80 97 70 100
36804 89 60 43 71
36810 94 27 19 17
69582 86 7 78 10
4047 62 65 34 26
4050 18 46 61 22
4058 26 92 67 96
69595 47 94 35 35
69599 69 55 92 100
36833 63 71 64 28
36846 21 33 69 100
36850 27 92 66 17
69622 59 78 92 25
4087 68 6 9 90
69624 70 56 61 78
36861 40 35 23 57
69632 22 51 3 8
69639 76 15 79 81
4105 89 99 97 7
36874 88 54 38 80
36875 5 58 39 50
69649 34 78 85 29
4115 80 52 36 78
4119 60 83 6 40
4121 96 29 89 30
4128 43 30 43 39
36896 80 67 37 0
69674 80 95 87 32
4149 72 78 76 62
36919 54 98 16 58
4155 2 39 35 8
36925 36 72 19 8
36931 8 25 78 92
4168 1 24 15 86
69705 20 65 74 50
69709 59 20 25 36
4174 40 77 93 59
4173 71 95 71 23
69716 91 69 21 83
69725 19 89 15 3
36959 21 93 79 68
36960 71 36 71 87
4191 12 38 43 70
36964 55 97 91 97
36971 17 30 15 19
4205 60 83 6 42
4211 5 53 63 63
36980 70 58 42 77
69748 20 62 48 20
69753 3 38 95 88
69756 36 74 5 43
69757 60 60 31 76
69763 100 46 17 60
37005 40 5 92 4
